name,homepage_url,category_list, funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_year,first_funding_at,last_funding_at
Inspiration Biopharmaceuticals,http://www.inspirationbio.com,Biotechnology," 258,625,546 ",operating,USA,CA,"Orange County, California",Laguna Niguel,2,2004,2009-07-23,2011-03-29
Instant Information,,Software," 119,999,911 ",operating,USA,NY,New York City,New York,1,2004,2010-02-02,2010-02-02
Jasper,http://www.jasper.com,Cloud Computing|Internet of Things|M2M|Mobile|SaaS," 205,300,000 ",operating,USA,CA,SF Bay Area,Santa Clara,6,2004,2005-06-01,2014-04-16
Joyent,http://www.joyent.com,Apps|Automotive|Cloud Computing|Enterprise Software|Facebook Applications|Infrastructure|Open Source|Software|Web Hosting," 130,999,998 ",operating,USA,CA,SF Bay Area,San Francisco,8,2004,2005-01-01,2014-10-31
Kareo,http://www.kareo.com,Cloud Computing|Health Care Information Technology|Medical|Software|Startups," 151,299,999 ",operating,USA,CA,Anaheim,Irvine,10,2004,2005-04-25,2015-07-28
Kinex Pharmaceuticals,http://www.kinexpharma.com,Biotechnology," 102,149,580 ",operating,USA,NY,Buffalo,Buffalo,6,2004,2010-02-03,2015-05-20
Legendary Entertainment,http://www.legendary.com,Entertainment|Film Production|Games," 1,008,000,000 ",operating,USA,CA,Los Angeles,Burbank,4,2004,2011-04-06,2014-10-03
Natera,http://www.natera.com,Biotechnology|Health Diagnostics," 154,100,000 ",ipo,USA,CA,SF Bay Area,Redwood City,7,2004,2008-12-05,2015-04-06
OncoMed Pharmaceuticals,http://www.oncomed.com,Biotechnology|Health Care," 196,249,996 ",ipo,USA,CA,SF Bay Area,Redwood City,3,2004,2008-11-04,2013-12-06
Pacific Biosciences,http://www.pacificbiosciences.com,Biotechnology," 255,220,000 ",ipo,USA,CA,SF Bay Area,Menlo Park,5,2004,2005-08-31,2013-02-11
Palantir Technologies,http://www.palantir.com,Analytics," 1,671,557,162 ",operating,USA,CA,SF Bay Area,Palo Alto,16,2004,2005-09-01,2015-10-21
