name,category_list,  funding_total_usd  ,status,country_code,state_code,region,city,funding_rounds,founded_year,first_funding_at,last_funding_at
Document Security Systems,Security," 12,862,048 ",ipo,USA,NY,"Rochester, New York",Rochester,6,1984,2009-05-29,2012-10-04
Entech Solar,Clean Technology," 7,950,000 ",operating,USA,TX,Dallas,Fort Worth,2,1984,2010-08-03,2010-10-12
firstSTREET for Boomers & Beyond,E-Commerce," 4,200,000 ",operating,USA,VA,Richmond,Colonial Heights,1,1984,2011-01-11,2011-01-11
HBCS,Biotechnology," 18,336,720 ",operating,USA,DE,"Wilmington, Delaware",New Castle,1,1984,2009-10-14,2009-10-14
Landpoint,Consulting|Environmental Innovation|Geospatial|Project Management," 17,000,000 ",operating,USA,LA,Shreveport,Bossier City,1,1984,2013-12-23,2013-12-23
"Lanyon Solutions, Inc",Business Intelligence|Event Management|Hospitality|Hotels|Meeting Software|Procurement|Software," 10,000,000 ",operating,USA,TX,Dallas,Dallas,1,1984,2009-12-03,2009-12-03
Lenovo,Hardware," 350,000,000 ",ipo,USA,NC,Raleigh,Morrisville,2,1984,1984-01-01,2005-03-31
LifeCare,Curated Web|Loyalty Programs|Productivity Software," 65,000,000 ",operating,USA,CT,Hartford,Shelton,1,1984,2000-06-12,2000-06-12
Medical Depot,Health Care," 115,000,000 ",operating,USA,NY,Long Island,Port Washington,1,1984,2013-10-08,2013-10-08
MEMC Electronic Materials,Semiconductors," 60,000,000 ",ipo,USA,MO,MO - Other,O Fallon,1,1984,2009-12-04,2009-12-04
Morningstar,Investment Management|Software," 91,000,000 ",ipo,USA,IL,Chicago,Chicago,1,1984,1999-07-09,1999-07-09
North Carolina Biotechnology Center,Biotechnology," 2,033,000 ",operating,USA,NC,Asheville,Alexander,2,1984,2015-02-03,2015-02-03
NTN Buzztime,Mobile," 2,250,000 ",operating,USA,CA,San Diego,Carlsbad,1,1984,2009-05-26,2009-05-26
Pace Properties,Property Management|Real Estate Investors|Services," 1,300,000 ",operating,USA,MO,St. Louis,Saint Louis,1,1984,2015-10-17,2015-10-17
Passport Brands,Fashion," 2,107,000 ",ipo,USA,NY,New York City,New York,1,1984,2011-07-19,2011-07-19
R.A. Burch Construction,Real Estate," 14,600,000 ",operating,USA,CA,San Diego,Ramona,1,1984,2013-09-09,2013-09-09
Rent My Vacation Home USA,E-Commerce|Online Rental|Real Estate|Vacation Rentals," 2,500,000 ",operating,USA,SC,Myrtle Beach,Myrtle Beach,1,1984,2013-08-09,2013-08-09
The Original SoupMan,Lifestyle Businesses|Recipes|Specialty Foods," 5,711,500 ",operating,USA,NY,New York City,Staten Island,2,1984,2010-01-13,2011-08-15
