name,category_list,  funding_total_usd  ,status,country_code,state_code,region,city,funding_rounds,founded_year,first_funding_at,last_funding_at,,,founded_dummy
Keller Williams Realty,Real Estate,"2,000,000",operating,USA,TX,Austin,Austin,1,1983,05/11/14,05/11/14,,,1983
Marshad Technology Group,Advertising|Content|Design|E-Commerce|SEO|Web Design,"2,000,000",operating,USA,NY,New York City,New York,1,1983,01/01/00,01/01/00,,,1983
Metagenics,Health and Wellness,"28,100,000",operating,USA,CA,Anaheim,Aliso Viejo,1,1983,18/09/09,18/09/09,,,1983
Navidea Biopharmaceuticals,Biotechnology|Health Diagnostics,"92,500,000",ipo,USA,OH,"Columbus, Ohio",Dublin,3,1983,21/01/14,11/05/15,,,1983
PPG Industries,Clean Technology,"2,100,000",ipo,USA,PA,Pittsburgh,Pittsburgh,1,1983,03/02/14,03/02/14,,,1983
RICS Software,Software,"4,125,000",operating,USA,IN,Indianapolis,Indianapolis,1,1983,05/10/12,05/10/12,,,1983
SpectraScience,Biotechnology,"5,893,231",operating,USA,CA,San Diego,San Diego,5,1983,19/05/09,09/01/14,,,1983
Tut Systems,Public Relations,"21,850,000",operating,USA,OR,"Portland, Oregon",Lake Oswego,2,1983,19/07/05,22/08/06,,,1983
Verizon Communications,Communications Infrastructure|Information Technology|Mobile,"30,079,503,000",ipo,USA,NY,New York City,New York,5,1983,26/01/10,28/02/14,,,1983
Washington University School Of Medicine,Education,"7,800,000",operating,USA,MO,St. Louis,St Louis,1,1983,21/08/13,21/08/13,,,1983
1-800-DOCTORS,Health and Wellness,"1,750,000",operating,USA,NJ,Newark,Iselin,1,1984,02/03/11,02/03/11,,,1984
A.C. Moore,E-Commerce,"10,000,000",ipo,USA,NJ,NJ - Other,Berlin,1,1984,05/06/09,05/06/09,,,1984
Active International,Advertising,"35,000,000",operating,USA,NY,New York City,Pearl River,1,1984,07/08/13,07/08/13,,,1984
Ascentis,Human Resources|Software,"10,273,803",operating,USA,WA,Seattle,Bellevue,2,1984,12/10/12,16/12/14,,,1984
Asset Marketing Services,Hardware + Software,"6,000,000",operating,USA,MN,Minneapolis,Burnsville,1,1984,08/07/11,08/07/11,,,1984
Band Digital,Internet Marketing,"7,294,000",operating,USA,IL,Chicago,Chicago,4,1984,15/07/09,09/02/12,,,1984
Bensussen Deutsch,Advertising|Brand Marketing|E-Commerce|Sporting Goods,"75,000,000",operating,USA,WA,Seattle,Woodinville,1,1984,26/09/14,26/09/14,,,1984
Blue Stripe,Fashion,"6,975,000",operating,USA,CO,Denver,Boulder,2,1984,27/05/15,08/07/15,,,1984
BookKeeping Express,Accounting|Business Services|Finance Technology|Financial Services,"5,800,000",operating,USA,NE,NE - Other,Virginia,1,1984,03/03/15,03/03/15,,,1984
Broadcast International,Software,"21,950,000",operating,USA,UT,Salt Lake City,Midvale,2,1984,24/12/10,14/03/12,,,1984
CDW Corporation,Consumers|Hardware + Software,"58,738,637",ipo,USA,IL,Chicago,Vernon Hills,1,1984,14/08/15,14/08/15,,,1984
Centene Corporation,Health and Wellness,"21,102,000",ipo,USA,MO,St. Louis,St Louis,1,1984,06/01/12,06/01/12,,,1984
